name,artists,popularity,danceability,valence,energy,explicit,key,liveness,loudness,speechiness,tempo,cluster,cluster_name
We're For The Dark - Remastered 2010,['Badfinger'],22,0.6779999999999999,0.5589999999999999,0.4320000000000001,0,3,0.0727,-12.696,0.0334,117.674,3,Balanced
Sixty Years On - Piano Demo,['Elton John'],25,0.456,0.259,0.368,0,6,0.156,-10.692,0.028,143.783,3,Balanced
Got to Find Another Way,['The Guess Who'],21,0.433,0.833,0.7240000000000001,0,0,0.17,-9.803,0.0378,84.34100000000002,0,Party
Feelin' Alright - Live At The Fillmore East/1970,['Joe Cocker'],22,0.436,0.87,0.914,0,5,0.855,-6.955,0.061,174.005,4,Energetic
Caravan - Take 7,['Van Morrison'],23,0.669,0.564,0.412,0,7,0.401,-13.095,0.0679,78.71600000000002,3,Balanced
For Some We Loved,['Dorothy Ashby'],22,0.467,0.5670000000000001,0.233,0,5,0.184,-15.140999999999998,0.0374,108.363,3,Balanced
Yeh Sham Mastani (with Dialogues),"['Kishore Kumar', 'Rajesh Khanna', 'Asha Parekh']",23,0.438,0.551,0.312,0,6,0.0929,-14.05,0.0518,116.365,3,Balanced
Isn't It Quiet And Cold,['Gentle Giant'],28,0.7390000000000001,0.612,0.106,0,2,0.274,-21.272,0.0537,109.297,3,Balanced
Evil - 40th Anniversary Version / 2010 Remastered,"['Derek & The Dominos', 'Andy Johns']",22,0.459,0.846,0.8220000000000001,0,0,0.1639999999999999,-8.874,0.0416,96.493,0,Party
Petition the Lord with Prayer - Live,['The Doors'],23,0.374,0.0484,0.5870000000000001,0,2,0.695,-15.821,0.382,92.328,2,Chill
Morning Colors,['Linda Perhacs'],22,0.399,0.187,0.155,0,2,0.106,-12.986,0.0334,110.768,2,Chill
Vine Street,['Harry Nilsson'],20,0.45,0.366,0.21,0,9,0.0756,-15.201,0.0416,121.976,3,Balanced
Only One Woman,['The Marbles'],40,0.415,0.206,0.334,0,5,0.123,-17.428,0.03,76.102,2,Chill
Love Story (You and Me),['Harry Nilsson'],20,0.363,0.196,0.0414,0,7,0.0908,-21.556,0.0423,96.215,2,Chill
Why Not?,['Gentle Giant'],28,0.406,0.589,0.507,0,5,0.148,-15.737,0.111,160.793,4,Energetic
Tattoo - Live,['The Who'],24,0.464,0.283,0.66,0,5,0.362,-12.001,0.0981,106.997,1,Workout
Happy Heart,['Andy Williams'],21,0.27,0.491,0.377,0,7,0.659,-12.66,0.0332,115.281,3,Balanced
Renegade,['Steppenwolf'],23,0.453,0.521,0.672,0,2,0.183,-13.044,0.0462,120.929,3,Balanced
Via del campo,['Fabrizio De André'],47,0.363,0.546,0.1689999999999999,0,7,0.11,-15.123,0.0378,178.588,4,Energetic
Three Button Hand Me Down,['Faces'],23,0.619,0.578,0.6659999999999999,0,11,0.0862,-9.602,0.0938,122.257,0,Party
Eli's Comin,['Maynard Ferguson'],17,0.265,0.28,0.7120000000000001,0,0,0.105,-8.966000000000003,0.0522,171.532,4,Energetic
Este Fue Mi Adiós,['José Alfredo Jimenez'],27,0.494,0.648,0.198,0,9,0.294,-11.384,0.0594,140.87,3,Balanced
Uptight,['The Orchestra Soledad'],31,0.7140000000000001,0.52,0.397,0,9,0.0777,-11.782,0.0368,102.873,3,Balanced
"Sad Lisa - Live On The Majikat Earth Tour, 1976",['Yusuf / Cat Stevens'],27,0.376,0.35,0.56,0,2,0.984,-10.657,0.0318,137.749,1,Workout
Readings in Astrology - Demo Version,['Curtis Mayfield'],25,0.813,0.835,0.792,0,1,0.293,-6.558,0.0755,105.956,0,Party
My Brother Jake,['Free'],34,0.6940000000000001,0.73,0.561,0,4,0.418,-10.117,0.0293,110.259,0,Party
"15 Variations with Fugue in E-Flat Major, Op. 35 ""Eroica"": Finale Alla Fuga. Allegro con brio - Adagio - Andante con moto - Remastered","['Ludwig van Beethoven', 'Glenn Gould']",27,0.298,0.284,0.284,0,3,0.0792,-20.903,0.047,111.613,2,Chill
Rock And Roll Madonna,['Elton John'],24,0.516,0.7979999999999999,0.8079999999999999,0,0,0.85,-9.409,0.0304,141.293,4,Energetic
Snake Lake Blues - 40th Anniversary Version / 2010 Remastered,"['Derek & The Dominos', 'Andy Johns']",22,0.411,0.569,0.5720000000000001,0,4,0.0701,-9.688,0.0307,184.787,4,Energetic
No Need to Worry,['Cactus'],24,0.451,0.33,0.222,0,5,0.0689,-15.66,0.04,104.132,3,Balanced
